217 Paroaria capitata (Yellow-billed Cardinal),-1
218 Cyanerpes cyaneus (Red-legged Honeycreeper),-1
219 Microcarbo melanoleucos brevirostris (Little Shag),-1
220 Sphyrapicus thyroideus (Williamson's Sapsucker),-1
221 Pheucticus ludovicianus (Rose-breasted Grosbeak),0
222 Sphyrapicus ruber (Red-breasted Sapsucker),-1
223 Pheucticus melanocephalus (Black-headed Grosbeak),0
224 Sphyrapicus nuchalis (Red-naped Sapsucker),-1
225 Ortalis poliocephala (West Mexican Chachalaca),-1
226 Ortalis vetula (Plain Chachalaca),-1
227 Corvus albus (Pied Crow),-1
228 Mniotilta varia (Black-and-white Warbler),-1
229 Volatinia jacarina (Blue-black Grassquit),-1
230 Thraupis palmarum (Palm Tanager),-1
231 Momotus mexicanus (Russet-crowned Motmot),-1
232 Euphagus cyanocephalus (Brewer's Blackbird),0
233 Cacatua galerita (Sulphur-crested Cockatoo),-1
234 Junco hyemalis oreganus (Oregon Junco),-1
235 Pluvialis fulva (Pacific Golden-Plover),-1
236 Molothrus aeneus (Bronzed Cowbird),-1
237 Molothrus ater (Brown-headed Cowbird),995
238 Merops pusillus (Little Bee-eater),-1
239 Merops apiaster (European Bee-Eater),-1
240 Pteroglossus torquatus (Collared Aracari),-1
241 Loxia curvirostra (Red Crossbill),-1
242 Merops orientalis (Green Bee-eater),-1
243 Loxia leucoptera (White-winged Crossbill),-1
244 Coracias garrulus (European Roller),-1
245 Coracias caudatus (Lilac-breasted Roller),-1
246 Coracias benghalensis (Indian Roller),-1
247 Xanthocephalus xanthocephalus (Yellow-headed Blackbird),-1
248 Chondestes grammacus (Lark Sparrow),0
249 Dolichonyx oryzivorus (Bobolink),-1
250 Pandion haliaetus (Osprey),-1
251 Phainopepla nitens (Phainopepla),-1
252 Tyrannus couchii (Couch's Kingbird),-1
253 Phylloscopus collybita (Common Chiffchaff),-1
254 Circus cyaneus hudsonius (Northern Harrier (American)),-1
255 Grallina cyanoleuca (Magpie-lark),-1
256 Plectrophenax nivalis (Snow Bunting),0
257 Calamospiza melanocorys (Lark Bunting),0
258 Regulus calendula (Ruby-crowned Kinglet),-1
259 Regulus ignicapilla (Common Firecrest),-1
260 Regulus regulus (Goldcrest),-1
261 Regulus satrapa (Golden-crowned Kinglet),-1
262 Tyrannus melancholicus (Tropical Kingbird),-1
263 Pelecanus conspicillatus (Australian Pelican),-1
264 Aulacorhynchus prasinus (Emerald Toucanet),-1
265 Todiramphus sanctus (Sacred Kingfisher),-1
266 Icterus bullockii (Bullock's Oriole),0
267 Spiza americana (Dickcissel),-1
268 Tyrannus dominicensis (Gray Kingbird),-1
269 Chlidonias niger (Black Tern),-1
270 Oriturus superciliosus (Striped Sparrow),0
271 Psarocolius montezuma (Montezuma Oropendola),-1
272 Turdus pilaris (Fieldfare),-1
273 Notiomystis cincta (Stitchbird),-1
274 Sagittarius serpentarius (Secretary Bird),-1
275 Psittacula krameri (Rose-ringed Parakeet),-1
276 Platycercus eximius (Eastern Rosella),-1
277 Protonotaria citrea (Prothonotary Warbler),-1
278 Megaceryle torquata (Ringed Kingfisher),-1
279 Nestor meridionalis (New Zealand Kaka),-1
280 Amazona viridigenalis (Red-crowned Parrot),-1
281 Amazona albifrons (White-fronted Parrot),-1
282 Amazona oratrix (Yellow-headed Parrot),-1
283 Saxicola rubetra (Whinchat),-1
284 Ara militaris (Military Macaw),-1
285 Spizelloides arborea (American Tree Sparrow),0
286 Ceryle rudis (Pied Kingfisher),-1
287 Chloroceryle aenea (American Pygmy Kingfisher),-1
288 Chloroceryle amazona (Amazon Kingfisher),-1
289 Myiozetetes similis (Social Flycatcher),-1
290 Toxostoma curvirostre (Curve-billed Thrasher),-1
291 Megaceryle alcyon (Belted Kingfisher),-1
292 Eremophila alpestris (Horned Lark),-1
293 Alisterus scapularis (Australian King-Parrot),-1
294 Cinnyris jugularis (Olive-backed Sunbird),-1
295 Xiphorhynchus flavigaster (Ivory-billed Woodcreeper),-1
296 Jacana jacana (Wattled Jacana),-1
297 Phalaropus fulicarius (Red Phalarope),-1
298 Streptopelia turtur (European Turtle-Dove),-1
299 Pica hudsonia (Black-billed Magpie),-1
300 Corvus cornix (Hooded Crow),-1
301 Myiopsitta monachus (Monk Parakeet),-1
302 Streptopelia decaocto (Eurasian Collared-Dove),-1
303 Piranga ludoviciana (Western Tanager),-1
304 Ixobrychus exilis (Least Bittern),-1
305 Auriparus flaviceps (Verdin),-1
306 Geothlypis tolmiei (MacGillivray's Warbler),-1
307 Columba livia (Rock Pigeon),-1
308 Setophaga citrina (Hooded Warbler),-1
309 Setophaga cerulea (Cerulean Warbler),-1
310 Columba palumbus (Common Wood-Pigeon),-1
311 Piranga bidentata (Flame-colored Tanager),-1
312 Patagioenas leucocephala (White-crowned Pigeon),-1
313 Patagioenas fasciata (Band-tailed Pigeon),-1
314 Patagioenas flavirostris (Red-billed Pigeon),-1
315 Setophaga discolor (Prairie Warbler),-1
316 Chordeiles minor (Common Nighthawk),-1
317 Chordeiles acutipennis (Lesser Nighthawk),-1
318 Platalea leucorodia (Eurasian Spoonbill),-1
319 Phalaenoptilus nuttallii (Common Poorwill),-1
320 Haemorhous mexicanus (House Finch),0
321 Haemorhous purpureus (Purple Finch),0
322 Nyctidromus albicollis (Common Pauraque),-1
323 Campephilus guatemalensis (Pale-billed Woodpecker),-1
324 Toxostoma rufum (Brown Thrasher),-1
325 Leptotila verreauxi (White-tipped Dove),-1
326 Nyctibius jamaicensis (Northern Potoo),-1
327 Anas penelope (Eurasian Wigeon),-1
328 Buteo plagiatus (Gray Hawk),-1
329 Selasphorus calliope (Calliope Hummingbird),-1
330 Megascops kennicottii (Western Screech-Owl),-1
331 Porphyrio poliocephalus (Gray-headed Swamphen),-1
332 Megascops asio (Eastern Screech-Owl),-1
333 Zenaida auriculata (Eared Dove),-1
334 Hymenolaimus malacorhynchos (Blue Duck),-1
335 Setophaga caerulescens (Black-throated Blue Warbler),-1
336 Camptostoma imberbe (Northern Beardless-Tyrannulet),-1
337 Caracara plancus (Southern Caracara),-1
338 Columbina passerina (Common Ground-Dove),0
